ReportTitle
"Water System Details

3/2/2022 10:18:20 AM"

TINWSYS_IS_NUMBER,Regulating_Agency,NUMBER0,SYSTEM_NAME,SYSTEM_STATUS,STATUS_DATE,D_PRIN_CNTY_SVD_NM,D_FED_PRIM_SRC_CD,OWNER_TYPE_CODE,FED_TYPE,STATE_TYPE,D_POPULATION_COUNT,NME,SVC_CONNECT_ALL,INDICATOR_VALUE_CD,INDICATOR_NAME
131,DISTRICT 15 - METROPOLITAN,CA1910099,PARADISE RANCH MHP,A,3/22/1979,LOS ANGELES,GW ,P,C,C,345,R - MOBILE HOME PARK,95,SC   ,F_CD
132,LPA50 - MADERA COUNTY,CA2000589,MAMMOTH POOL MOBILE HOME PARK,A,4/30/2015,MADERA,GW ,P,C,C,60,R - MOBILE HOME PARK,32,,
133,LPA50 - MADERA COUNTY,CA2000592,TWO TWENTY FOUR MOBILE HOME PK,A,4/30/2015,MADERA,GW ,P,C,C,35,R - MOBILE HOME PARK,15,,
134,LPA50 - MADERA COUNTY,CA2000593,OAKHURST MOBILE HOME ESTATES,A,4/30/2015,MADERA,GW ,P,C,C,164,R - MOBILE HOME PARK,116,,
135,LPA50 - MADERA COUNTY,CA2000595,MADERA MH & RV PARK,A,4/30/2015,MADERA,GW ,P,C,C,450,R - MOBILE HOME PARK,99,,
136,LPA50 - MADERA COUNTY,CA2000605,WHISPERING PINES MHP,A,4/30/2015,MADERA,GW ,P,C,C,36,R - MOBILE HOME PARK,30,SC   ,F_CD
137,LPA50 - MADERA COUNTY,CA2000608,WILDWOOD MOBILE HOME PK INC,A,4/30/2015,MADERA,GW ,P,C,C,100,R - MOBILE HOME PARK,68,,
138,LPA50 - MADERA COUNTY,CA2000775,OAK CREEK MOBILE HOME PARK,A,8/1/2016,MADERA,GW ,P,C,C,370,R - MOBILE HOME PARK,198,SC   ,F_CD
139,LPA50 - MADERA COUNTY,CA2000828,SHADY OAKS MOBILE HOME PARK LLC,A,4/30/2015,MADERA,GW ,P,C,C,27,R - MOBILE HOME PARK,21,,
140,LPA50 - MADERA COUNTY,CA2000941,BASS LAKE MHP,A,9/4/2007,MADERA,GW ,P,NP,SSWS,17,R - MOBILE HOME PARK,14,XS   ,F_CD
141,DISTRICT 11 - MERCED,CA2210905,"MCCLURE BOAT CLUB, INC.",A,4/1/1971,MARIPOSA,SW ,P,C,C,282,R - MOBILE HOME PARK,66,SC   ,F_CD
142,DISTRICT 11 - MERCED,CA2210917,YOSEMITE RIDGE RESORT,A,8/5/1991,MARIPOSA,GW ,P,NC,NC,60,R - MOBILE HOME PARK,14,N1   ,F_CD
143,DISTRICT 11 - MERCED,CA2210920,WAMPUM HILL TRAILER VILLAGE,A,12/15/1992,MARIPOSA,GW ,P,NC,NC,62,R - MOBILE HOME PARK,35,N1   ,F_CD
144,DISTRICT 11 - MERCED,CA2210925,YOSEMITE TERRACE ESTATES,A,3/6/1992,MARIPOSA,GW ,P,C,C,130,R - MOBILE HOME PARK,53,SC   ,F_CD
145,DISTRICT 03 - MENDOCINO,CA2300634,OCEAN'S EDGE ESTATES,A,3/22/1979,MENDOCINO,GW ,P,C,C,250,R - MOBILE HOME PARK,71,DAVCS,F_CD
146,DISTRICT 03 - MENDOCINO,CA2300644,WOODSIDE RV PARK,A,3/22/1979,MENDOCINO,GU ,P,C,C,280,R - MOBILE HOME PARK,58,SC   ,F_CD
147,DISTRICT 03 - MENDOCINO,CA2300646,BELLA SHORES MOBILE HOME PARK,A,3/22/1979,MENDOCINO,GW ,P,C,C,80,R - MOBILE HOME PARK,60,SC   ,F_CD
148,DISTRICT 03 - MENDOCINO,CA2300668,POINT CABRILLO HIGHLANDS,A,1/5/1981,MENDOCINO,GW ,P,C,C,42,R - MOBILE HOME PARK,21,YES  ,OTPR
149,DISTRICT 03 - MENDOCINO,CA2300668,POINT CABRILLO HIGHLANDS,A,1/5/1981,MENDOCINO,GW ,P,C,C,42,R - MOBILE HOME PARK,21,SC   ,F_CD
150,DISTRICT 03 - MENDOCINO,CA2300705,LITTLE LAKE MOBILE HOME PARK,A,3/22/1979,MENDOCINO,GW ,P,C,C,38,R - MOBILE HOME PARK,19,DAVCS,F_CD
151,DISTRICT 03 - MENDOCINO,CA2300717,CREEKSIDE CABINS & RV RESORT,A,3/22/1979,MENDOCINO,GW ,P,C,C,124,"R - MOBILE HOME PARK,PRINC. RES.",55,SC   ,F_CD
152,DISTRICT 03 - MENDOCINO,CA2300775,GREEN ACRES TRAILER PARK,A,1/21/1984,MENDOCINO,GW ,P,NC,NC,256,R - MOBILE HOME PARK,85,N1   ,F_CD
153,DISTRICT 03 - MENDOCINO,CA2300831,HIDDEN PINES CAMPGROUND,A,3/12/1986,MENDOCINO,GW ,P,NC,NC,362,R - MOBILE HOME PARK,32,N1   ,F_CD
154,DISTRICT 03 - MENDOCINO,CA2300892,COVELO MOBILE HOME PARK,A,11/23/1993,MENDOCINO,GW ,P,C,C,30,R - MOBILE HOME PARK,30,SC   ,F_CD
155,DISTRICT 03 - MENDOCINO,CA2300900,LEMON'S MARKET,A,6/16/2017,MENDOCINO,GW ,P,NC,NC,150,R - MOBILE HOME PARK,15,N1   ,F_CD
156,DISTRICT 11 - MERCED,CA2400053,EL NIDO MOBILE HOME PARK,A,3/18/1993,MERCED,GW ,P,C,C,137,R - MOBILE HOME PARK,50,SC   ,F_CD
157,DISTRICT 11 - MERCED,CA2400084,EVERGREEN MOBILE HOME PARK,A,8/28/2017,MERCED,GW ,P,C,C,36,R - MOBILE HOME PARK,11,DAVCS,F_CD
158,LPA56 - MONO COUNTY,CA2600513,WALKER RV PARK,A,8/2/2016,MONO,GW ,P,NC,NC,25,R - MOBILE HOME PARK,14,N1   ,F_CD
159,LPA56 - MONO COUNTY,CA2600536,TOPAZ LAKE RV PARK,A,8/2/2016,MONO,GW ,L,NC,NC,127,R - MOBILE HOME PARK,2,,
160,LPA56 - MONO COUNTY,CA2600542,CASHEL PROPERTIES,A,5/3/2021,MONO,   ,P,NP,SSWS,20,R - MOBILE HOME PARK,6,,
161,LPA56 - MONO COUNTY,CA2600543,LAKE TOPAZ MOBILE HOME PARK,A,8/2/2016,MONO,GW ,P,NC,NC,22,R - MOBILE HOME PARK,16,N1   ,F_CD
162,LPA56 - MONO COUNTY,CA2600547,CROWLEY LAKE TRAILER PARK,A,8/2/2016,MONO,GW ,P,C,C,230,R - MOBILE HOME PARK,108,     ,F_CD
163,LPA56 - MONO COUNTY,CA2600550,VIRGINIA CREEK SETTLEMENT,A,8/2/2016,MONO,GW ,P,NC,NC,47,R - MOBILE HOME PARK,20,,
164,LPA56 - MONO COUNTY,CA2600551,MILL CREEK MOBILE HOME PARK,A,4/26/2021,MONO,GW ,P,NP,SSWS,22,R - MOBILE HOME PARK,11,,
165,LPA56 - MONO COUNTY,CA2600572,MCGEE CREEK MOBILE HOME PARK,A,8/2/2016,MONO,GW ,P,NC,NC,34,R - MOBILE HOME PARK,9,,
166,LPA56 - MONO COUNTY,CA2600574,PARADISE SHORES RV PARK,A,8/2/2016,MONO,GW ,P,NC,NC,20,R - MOBILE HOME PARK,35,,
167,LPA56 - MONO COUNTY,CA2600622,SIERRA EAST HOA,A,8/2/2016,MONO,GW ,P,C,C,84,R - MOBILE HOME PARK,30,SC   ,F_CD
168,LPA57 - MONTEREY COUNTY,CA2700522,CABANA HOLIDAY WS,A,8/1/2016,MONTEREY,GW ,P,C,C,400,R - MOBILE HOME PARK,146,SC   ,F_CD
169,LPA57 - MONTEREY COUNTY,CA2700606,HIDDEN VIEWS MHP WS,A,8/1/2016,MONTEREY,GW ,P,C,C,75,R - MOBILE HOME PARK,31,SC   ,F_CD
170,LPA57 - MONTEREY COUNTY,CA2700772,STRUVE RD WS #02,A,8/1/2016,MONTEREY,GW ,P,C,C,166,R - MOBILE HOME PARK,105,SC   ,F_CD
171,LPA57 - MONTEREY COUNTY,CA2700792,SUMMERHILL MHP WS,A,8/1/2016,MONTEREY,GW ,P,C,C,95,R - MOBILE HOME PARK,34,SC   ,F_CD
172,LPA57 - MONTEREY COUNTY,CA2700970,ROYAL SIERRA ESTATES WS,A,8/1/2016,MONTEREY,GW ,P,C,C,36,R - MOBILE HOME PARK,19,SC   ,F_CD
173,LPA57 - MONTEREY COUNTY,CA2701687,VALLEY OAKS MHP WS,A,8/1/2016,MONTEREY,GW ,P,C,C,120,R - MOBILE HOME PARK,46,SC   ,F_CD
174,LPA57 - MONTEREY COUNTY,CA2701701,BRADLEY-LOCKWOOD RD WS,A,8/1/2016,MONTEREY,GW ,P,C,C,39,R - MOBILE HOME PARK,16,SC   ,F_CD
175,LPA57 - MONTEREY COUNTY,CA2701906,LAKE SAN ANTONIO PARK WS,A,12/6/1995,MONTEREY,SW ,P,C,C,54,R - MOBILE HOME PARK,30,SC   ,F_CD
176,LPA57 - MONTEREY COUNTY,CA2702256,NORTH SHORE ESTATES  WS,A,8/1/2016,MONTEREY,GW ,P,C,C,60,R - MOBILE HOME PARK,33,SC   ,F_CD
177,LPA57 - MONTEREY COUNTY,CA2702405,JENSEN MHP WS,A,8/1/2016,MONTEREY,GW ,P,C,C,56,R - MOBILE HOME PARK,26,SC   ,F_CD
178,LPA58 - NAPA COUNTY,CA2800186,TURTLE ROCK,A,9/4/2015,NAPA,GW ,P,NC,NC,25,R - MOBILE HOME PARK,14,,
179,LPA58 - NAPA COUNTY,CA2800602,GLASS MTN TRAILER PARK,A,9/4/2015,NAPA,GW ,P,NP,SSWS,15,R - MOBILE HOME PARK,10,XS   ,F_CD
180,LPA59 - NEVADA COUNTY,CA2900529,GOLD COUNTRY HOME PARK - WATER SYSTEM,A,8/8/2016,NEVADA,GW ,P,C,C,60,R - MOBILE HOME PARK,27,SC   ,F_CD
181,LPA59 - NEVADA COUNTY,CA2900530,ROUGH & READY MOBILEHOME VILLAGE,A,8/8/2016,NEVADA,GW ,P,C,C,268,R - MOBILE HOME PARK,56,SC   ,F_CD
182,LPA59 - NEVADA COUNTY,CA2900531,CREEKSIDE VILLAGE,A,8/8/2016,NEVADA,GW ,P,C,C,300,R - MOBILE HOME PARK,131,SC   ,F_CD
183,LPA59 - NEVADA COUNTY,CA2900548,SIERRA ESTATES MUTUAL WATER COMPANY,A,8/8/2016,NEVADA,GW ,P,C,C,100,R - MOBILE HOME PARK,32,SC   ,F_CD
184,LPA61 - PLACER COUNTY,CA3100023,AUBURN MOBILE HOME VILLAGE,A,7/26/2016,PLACER,GW ,P,C,C,59,R - MOBILE HOME PARK,23,SC   ,F_CD
185,LPA61 - PLACER COUNTY,CA3100043,GOLD HILL MOBILEHOME PARK,A,7/26/2016,PLACER,GW ,P,C,C,75,R - MOBILE HOME PARK,32,SC   ,F_CD
186,LPA62 - PLUMAS COUNTY,CA3200011,VILLAGE WATER SYSTEM (THE),A,2/19/2016,PLUMAS,GW ,P,NP,SSWS,14,R - MOBILE HOME PARK,7,DD   ,F_CD
187,LPA62 - PLUMAS COUNTY,CA3200049,DREAM CATCHER CAMPGROUND,A,6/17/2015,PLUMAS,GW ,P,NC,NC,30,R - MOBILE HOME PARK,14,SC   ,F_CD
188,LPA62 - PLUMAS COUNTY,CA3200056,SLEEPY HOLLOW RV & MHP,A,2/18/2016,PLUMAS,GW ,P,NP,SSWS,17,R - MOBILE HOME PARK,45,SC   ,F_CD
189,LPA62 - PLUMAS COUNTY,CA3200066,MIDDLE FORK MOBILE HOME PARK,A,1/30/2015,PLUMAS,GW ,P,NC,NC,44,R - MOBILE HOME PARK,24,N1   ,F_CD
190,LPA62 - PLUMAS COUNTY,CA3200083,CLIO RIVERS EDGE RV PARK,A,1/30/2015,PLUMAS,GW ,P,NC,NC,150,R - MOBILE HOME PARK,201,N1   ,F_CD
191,LPA62 - PLUMAS COUNTY,CA3200127,ARLINGTON HEIGHTS MHP,A,1/30/2015,PLUMAS,GW ,P,C,C,33,R - MOBILE HOME PARK,39,SC   ,F_CD
192,LPA62 - PLUMAS COUNTY,CA3200138,MEADOW EDGE MHP,A,1/30/2015,PLUMAS,GW ,P,C,C,53,R - MOBILE HOME PARK,31,SC   ,F_CD
193,LPA62 - PLUMAS COUNTY,CA3200148,FEATHER RIVER RV & MHP,A,1/30/2015,PLUMAS,GW ,P,C,C,700,R - MOBILE HOME PARK,21,SC   ,F_CD
194,LPA62 - PLUMAS COUNTY,CA3200153,CARIBOU CROSSROADS,A,1/30/2015,PLUMAS,GW ,P,NC,NC,30,R - MOBILE HOME PARK,2,N1   ,F_CD
195,LPA62 - PLUMAS COUNTY,CA3200171,SIERRA VALLEY RV PARK,A,1/30/2015,PLUMAS,GW ,P,NC,NC,50,R - MOBILE HOME PARK,44,N1   ,F_CD
196,LPA62 - PLUMAS COUNTY,CA3200189,VALIVU ESTATES MHP,A,1/30/2015,PLUMAS,GW ,P,C,C,54,R - MOBILE HOME PARK,19,SC   ,F_CD
197,LPA62 - PLUMAS COUNTY,CA3205009,EAGLE RIDGE RV PARK,A,1/30/2015,PLUMAS,GW ,P,NC,NC,25,R - MOBILE HOME PARK,1,N1   ,F_CD
198,LPA63 - RIVERSIDE COUNTY,CA3301028,BALDY MOUNTAIN RANCH,A,7/27/2016,RIVERSIDE,GW ,P,C,C,144,R - MOBILE HOME PARK,80,SC   ,F_CD
199,LPA63 - RIVERSIDE COUNTY,CA3301040,RIVERDALE ESTATES,A,7/27/2016,RIVERSIDE,GW ,P,C,C,300,R - MOBILE HOME PARK,186,SC   ,F_CD
200,LPA63 - RIVERSIDE COUNTY,CA3301045,BLYTHE MOBILE HOME ESTATES,A,7/27/2016,RIVERSIDE,GW ,P,C,C,35,R - MOBILE HOME PARK,25,SC   ,F_CD
201,LPA63 - RIVERSIDE COUNTY,CA3301169,MURRIETA PALMS MOBILE HOME PARK,A,7/27/2016,RIVERSIDE,GW ,P,C,C,237,R - MOBILE HOME PARK,71,SC   ,F_CD
202,LPA63 - RIVERSIDE COUNTY,CA3301245,CHERRY VALLEY RANCH LLC,A,7/27/2016,RIVERSIDE,GW ,P,NC,NC,120,R - MOBILE HOME PARK,100,N1   ,F_CD
203,LPA63 - RIVERSIDE COUNTY,CA3301247,ELMS MOBILE PARK,A,7/27/2016,RIVERSIDE,GW ,P,C,C,100,R - MOBILE HOME PARK,47,SC   ,F_CD
204,LPA63 - RIVERSIDE COUNTY,CA3301380,SAINT ANTHONY TRAILER PARK,A,7/27/2016,RIVERSIDE,GW ,P,C,C,340,R - MOBILE HOME PARK,68,SC   ,F_CD
205,LPA63 - RIVERSIDE COUNTY,CA3301381,CSA 51,A,7/27/2016,RIVERSIDE,GW ,L,C,C,350,R - MOBILE HOME PARK,77,SC   ,F_CD
206,DISTRICT 20 - RIVERSIDE,CA3301630,BLYTHE - HIDDEN BEACHES,A,3/22/1979,RIVERSIDE,GW ,L,C,C,383,R - MOBILE HOME PARK,116,SC   ,F_CD
207,LPA63 - RIVERSIDE COUNTY,CA3301687,TUCALOTA SPRINGS R.V. PARK,A,7/27/2016,RIVERSIDE,GW ,P,NC,NC,40,R - MOBILE HOME PARK,51,N1   ,F_CD
208,LPA63 - RIVERSIDE COUNTY,CA3301717,VALLEY VIEW TRAILER PARK,A,7/27/2016,RIVERSIDE,GW ,P,C,C,135,R - MOBILE HOME PARK,37,SC   ,F_CD
209,LPA63 - RIVERSIDE COUNTY,CA3301803,CASTRO TRAILER PARK,A,7/27/2016,RIVERSIDE,GWP,P,C,C,180,R - MOBILE HOME PARK,44,SC   ,F_CD
210,DISTRICT 20 - RIVERSIDE,CA3301879,SHARONDALE MESA HOA,A,11/30/1981,RIVERSIDE,GW ,P,C,C,330,R - MOBILE HOME PARK,244,SC   ,F_CD
211,DISTRICT 20 - RIVERSIDE,CA3301943,PLANTATION ON THE LAKE PARK,A,3/28/1986,RIVERSIDE,GW ,P,C,C,891,R - MOBILE HOME PARK,554,SC   ,F_CD
212,LPA63 - RIVERSIDE COUNTY,CA3301981,SHADOW HILLS RV RESORT,A,7/27/2016,RIVERSIDE,GW ,P,NC,NC,156,R - MOBILE HOME PARK,91,N1   ,F_CD
213,LPA63 - RIVERSIDE COUNTY,CA3302009,SAM S FENCE,A,2/24/2006,RIVERSIDE,GW ,P,NP,SSWS,18,R - MOBILE HOME PARK,8,SC   ,F_CD
214,LPA63 - RIVERSIDE COUNTY,CA3303028,SHADY ACRES,A,10/29/2015,RIVERSIDE,GW ,P,NP,SSWS,23,R - MOBILE HOME PARK,12,SC   ,F_CD
215,LPA63 - RIVERSIDE COUNTY,CA3303035,THERMAL PARK,A,7/27/2016,RIVERSIDE,GW ,P,C,C,73,R - MOBILE HOME PARK,22,SC   ,F_CD
216,LPA63 - RIVERSIDE COUNTY,CA3303048,MANUELA GARCIA WATER,A,2/24/2006,RIVERSIDE,GW ,P,NP,SSWS,24,R - MOBILE HOME PARK,14,SC   ,F_CD
217,LPA63 - RIVERSIDE COUNTY,CA3303087,VARGAS MHP/SAN JOSE COMMUNITY WS,A,7/27/2016,RIVERSIDE,GW ,P,C,C,71,R - MOBILE HOME PARK,15,,
218,DISTRICT 20 - RIVERSIDE,CA3310080,LAKE HEMET MWD-CAMP GROUND,A,1/1/1976,RIVERSIDE,GW ,L,C,C,600,R - MOBILE HOME PARK,287,SC   ,F_CD
219,LPA64 - SACRAMENTO COUNTY,CA3400121,EL DORADO MOBILE HOME PARK,A,8/8/2016,SACRAMENTO,GW ,P,C,C,256,R - MOBILE HOME PARK,128,,
220,LPA64 - SACRAMENTO COUNTY,CA3400122,EL DORADO WEST MHP,A,8/8/2016,SACRAMENTO,GW ,P,C,C,172,R - MOBILE HOME PARK,128,SC   ,F_CD
221,LPA64 - SACRAMENTO COUNTY,CA3400150,DELTA CROSSING MHP,A,8/8/2016,SACRAMENTO,GW ,P,C,C,30,R - MOBILE HOME PARK,22,,
222,LPA64 - SACRAMENTO COUNTY,CA3400169,SPINDRIFT MARINA,A,8/8/2016,SACRAMENTO,GW ,P,C,C,100,R - MOBILE HOME PARK,50,,
223,LPA64 - SACRAMENTO COUNTY,CA3400179,MC CLELLAN MHP,A,8/8/2016,SACRAMENTO,GW ,P,C,C,700,R - MOBILE HOME PARK,199,,
224,LPA64 - SACRAMENTO COUNTY,CA3400190,IMPERIAL MANOR MOBILEHOME COMMUNITY,A,8/8/2016,SACRAMENTO,GW ,P,C,C,200,R - MOBILE HOME PARK,186,,
225,LPA64 - SACRAMENTO COUNTY,CA3400191,ELEVEN OAKS MOBILE HOME COMMUNITY,A,8/8/2016,SACRAMENTO,GW ,P,C,C,262,R - MOBILE HOME PARK,136,,
226,LPA64 - SACRAMENTO COUNTY,CA3400192,TUNNEL TRAILER PARK,A,8/8/2016,SACRAMENTO,GW ,P,C,C,44,R - MOBILE HOME PARK,21,,
227,LPA64 - SACRAMENTO COUNTY,CA3400217,HOMETOWN COLONIAL ESTATES LLC,A,8/8/2016,SACRAMENTO,GW ,P,C,C,438,R - MOBILE HOME PARK,146,,
228,LPA64 - SACRAMENTO COUNTY,CA3400296,SAC CITY MOBILE HOME COMMUNITY LP,A,8/8/2016,SACRAMENTO,GW ,P,C,C,350,R - MOBILE HOME PARK,164,,
229,LPA64 - SACRAMENTO COUNTY,CA3400331,WESTERNER MOBILE HOME PARK,A,8/8/2016,SACRAMENTO,GW ,P,C,C,65,R - MOBILE HOME PARK,49,SC   ,F_CD
230,LPA64 - SACRAMENTO COUNTY,CA3400335,HOLIDAY MOBILE VILLAGE,A,8/8/2016,SACRAMENTO,GW ,P,C,C,200,R - MOBILE HOME PARK,115,,
231,LPA64 - SACRAMENTO COUNTY,CA3400397,LAGUNA VILLAGE RV PARK,A,8/8/2016,SACRAMENTO,GW ,P,C,C,32,R - MOBILE HOME PARK,28,SC   ,F_CD
232,LPA64 - SACRAMENTO COUNTY,CA3400401,PLANTATION MOBILE HOME PARK,A,8/8/2016,SACRAMENTO,GW ,P,C,C,44,R - MOBILE HOME PARK,44,SC   ,F_CD
233,LPA64 - SACRAMENTO COUNTY,CA3400408,PROPERTY MOBILE HOME PARK,A,8/8/2016,SACRAMENTO,GW ,P,NP,SSWS,17,R - MOBILE HOME PARK,14,SC   ,F_CD
234,LPA64 - SACRAMENTO COUNTY,CA3400426,COZY VILLA MHP [SWS],A,8/8/2016,SACRAMENTO,GW ,P,NP,LSS,12,R - MOBILE HOME PARK,14,SC   ,F_CD
235,LPA64 - SACRAMENTO COUNTY,CA3400433,EDGEWATER MOBILE HOME PARK,A,8/8/2016,SACRAMENTO,GW ,P,C,C,40,R - MOBILE HOME PARK,22,SC   ,F_CD
236,DISTRICT 09 - SACRAMENTO,CA3410022,OLYMPIA MOBILODGE,A,1/1/1976,SACRAMENTO,GW ,P,C,C,450,R - MOBILE HOME PARK,200,SC   ,F_CD
237,DISTRICT 17 - SANTA CLARA,CA3500524,RIVER OAKS R.V.P.,A,3/22/1979,SAN BENITO,GW ,P,C,C,52,R - MOBILE HOME PARK,15,SP   ,F_CD
238,DISTRICT 05 - MONTEREY,CA3500556,MISSION FARM R.V. PARK,A,11/30/1981,SAN BENITO,GW ,P,C,C,110,R - MOBILE HOME PARK,173,SC   ,F_CD
239,DISTRICT 05 - MONTEREY,CA3510006,MISSION OAKS MOBILE HOME PARK,A,1/1/1976,SAN BENITO,GW ,P,C,C,550,R - MOBILE HOME PARK,238,SC   ,F_CD
240,LPA66 - SAN BERNARDINO COUNTY,CA3600155,RIVER RANCH MHP,A,8/8/2016,SAN BERNARDINO,GW ,P,C,C,176,R - MOBILE HOME PARK,136,SC   ,F_CD
241,LPA66 - SAN BERNARDINO COUNTY,CA3600356,RAINBO BEACH,A,8/8/2016,SAN BERNARDINO,GW ,P,NC,NC,700,R - MOBILE HOME PARK,121,SC   ,F_CD
242,LPA66 - SAN BERNARDINO COUNTY,CA3600360,SEVEN OAKS MT RESORT MHP,A,8/8/2016,SAN BERNARDINO,GW ,P,NC,NC,300,R - MOBILE HOME PARK,38,SC   ,F_CD
243,LPA66 - SAN BERNARDINO COUNTY,CA3600368,EMERALD COVE RESORT,A,8/8/2016,SAN BERNARDINO,GW ,P,NC,NC,1000,R - MOBILE HOME PARK,860,N1   ,F_CD
244,LPA66 - SAN BERNARDINO COUNTY,CA3600372,PALMS RIVER RESORT,A,8/8/2016,SAN BERNARDINO,GW ,P,C,C,127,R - MOBILE HOME PARK,205,SC   ,F_CD
245,LPA66 - SAN BERNARDINO COUNTY,CA3600384,BONITA RANCH RV CAMPGROUND,A,8/8/2016,SAN BERNARDINO,GW ,P,NC,NC,400,R - MOBILE HOME PARK,1,N1   ,F_CD
246,LPA66 - SAN BERNARDINO COUNTY,CA3600385,BROOKSIDE MHP,A,8/8/2016,SAN BERNARDINO,GW ,P,C,C,65,R - MOBILE HOME PARK,19,SC   ,F_CD
247,LPA66 - SAN BERNARDINO COUNTY,CA3600386,FOOTHILL ESTATES MHP,A,8/8/2016,SAN BERNARDINO,GW ,P,C,C,135,R - MOBILE HOME PARK,33,SC   ,F_CD
248,LPA66 - SAN BERNARDINO COUNTY,CA3600388,DESERT VIEW MOBILE PARK,A,8/8/2016,SAN BERNARDINO,GW ,P,C,C,130,R - MOBILE HOME PARK,28,SC   ,F_CD
249,LPA66 - SAN BERNARDINO COUNTY,CA3600389,SUNRISE MHP,A,4/23/2015,SAN BERNARDINO,GW ,P,NP,SSWS,6,R - MOBILE HOME PARK,14,SC   ,F_CD
250,LPA66 - SAN BERNARDINO COUNTY,CA3600391,HILLCREST MOBILE ESTATES,A,8/8/2016,SAN BERNARDINO,GW ,P,C,C,900,R - MOBILE HOME PARK,180,SC   ,F_CD
251,LPA66 - SAN BERNARDINO COUNTY,CA3600394,NEW BEGINNINGS MHP,A,4/23/2015,SAN BERNARDINO,GW ,P,NP,SSWS,10,R - MOBILE HOME PARK,14,SC   ,F_CD
252,LPA66 - SAN BERNARDINO COUNTY,CA3600397,MOSS MOBILE MANOR,A,8/8/2016,SAN BERNARDINO,GW ,P,C,C,290,R - MOBILE HOME PARK,43,SC   ,F_CD
253,LPA66 - SAN BERNARDINO COUNTY,CA3600399,PARADISE MOBILE ESTATES,A,8/8/2016,SAN BERNARDINO,GW ,P,C,C,190,R - MOBILE HOME PARK,38,SC   ,F_CD
254,LPA66 - SAN BERNARDINO COUNTY,CA3600400,APPLE VALLEY VILLAGE MHE,A,8/8/2016,SAN BERNARDINO,GW ,P,C,C,180,R - MOBILE HOME PARK,93,SC   ,F_CD
255,LPA66 - SAN BERNARDINO COUNTY,CA3600404,SHADY LANE RV CAMP,A,8/8/2016,SAN BERNARDINO,GW ,P,NC,NC,165,R - MOBILE HOME PARK,35,N1   ,F_CD
256,LPA66 - SAN BERNARDINO COUNTY,CA3600412,LIGHTHOUSE TRAILER RESORT,A,8/8/2016,SAN BERNARDINO,GW ,P,NC,NC,300,R - MOBILE HOME PARK,2,N1   ,F_CD
257,LPA66 - SAN BERNARDINO COUNTY,CA3601045,BEAR VALLEY MHP,A,8/8/2016,SAN BERNARDINO,GW ,P,C,C,150,R - MOBILE HOME PARK,98,SC   ,F_CD
258,LPA66 - SAN BERNARDINO COUNTY,CA3601143,DESERT VIEW RV RESORT,A,8/8/2016,SAN BERNARDINO,GW ,P,NC,NC,25,R - MOBILE HOME PARK,66,N1   ,F_CD
259,LPA66 - SAN BERNARDINO COUNTY,CA3601168,NORTHSHORE RV RESORT INC,A,8/8/2016,SAN BERNARDINO,GW ,P,NC,NC,140,R - MOBILE HOME PARK,120,N1   ,F_CD
260,LPA66 - SAN BERNARDINO COUNTY,CA3601173,BOLO STATION RV PARK & SNACK BAR,A,8/8/2016,SAN BERNARDINO,GW ,P,NC,NC,100,R - MOBILE HOME PARK,29,N1   ,F_CD
261,LPA67 - SAN DIEGO COUNTY,CA3700001,LEAPIN' LIZARD RV RANCH,A,8/2/2016,SAN DIEGO,GW ,P,NC,NC,70,R - MOBILE HOME PARK,61,N1   ,F_CD
262,LPA67 - SAN DIEGO COUNTY,CA3700041,BARRETT LAKE MH AND RV LLC,A,8/2/2016,SAN DIEGO,GW ,P,C,C,150,R - MOBILE HOME PARK,58,SC   ,F_CD
263,LPA67 - SAN DIEGO COUNTY,CA3700071,HEAVENLY OAKS,A,8/2/2016,SAN DIEGO,GW ,P,C,C,300,R - MOBILE HOME PARK,102,SC   ,F_CD
264,LPA67 - SAN DIEGO COUNTY,CA3700291,"OCOTILLO OASIS, LLC",A,8/2/2016,SAN DIEGO,GW ,P,C,C,100,R - MOBILE HOME PARK,55,SC   ,F_CD
265,LPA67 - SAN DIEGO COUNTY,CA3700855,LITTLE ACRES MOBILE HOME PARK,A,8/2/2016,SAN DIEGO,GW ,P,NP,SSWS,20,R - MOBILE HOME PARK,6,XS   ,F_CD
266,LPA67 - SAN DIEGO COUNTY,CA3700858,SHADY OAKS TRAILER RANCH,A,8/2/2016,SAN DIEGO,GW ,P,NC,NC,25,R - MOBILE HOME PARK,14,N1   ,F_CD
267,DISTRICT 14 - SAN DIEGO,CA3700919,LAKE WOHLFORD RESORT,A,8/2/2016,SAN DIEGO,SW ,P,C,C,250,R - MOBILE HOME PARK,137,DAVCS,F_CD
268,LPA67 - SAN DIEGO COUNTY,CA3700922,LIVE OAK SPRINGS WATER SYSTEM,A,8/2/2016,SAN DIEGO,GW ,L,C,C,300,R - MOBILE HOME PARK,94,SC   ,F_CD
269,LPA67 - SAN DIEGO COUNTY,CA3700962,OAKVALE PARK,A,8/2/2016,SAN DIEGO,GW ,P,C,C,100,R - MOBILE HOME PARK,70,SC   ,F_CD
270,LPA67 - SAN DIEGO COUNTY,CA3701184,BUTTERFIELD RANCH,A,8/2/2016,SAN DIEGO,GW ,P,C,C,350,R - MOBILE HOME PARK,75,SC   ,F_CD
