ReportTitle
"Water System Details

3/2/2022 10:18:20 AM"

TINWSYS_IS_NUMBER,Regulating_Agency,NUMBER0,SYSTEM_NAME,SYSTEM_STATUS,STATUS_DATE,D_PRIN_CNTY_SVD_NM,D_FED_PRIM_SRC_CD,OWNER_TYPE_CODE,FED_TYPE,STATE_TYPE,D_POPULATION_COUNT,NME,SVC_CONNECT_ALL,INDICATOR_VALUE_CD,INDICATOR_NAME
32,DISTRICT 01 - KLAMATH,CA0800800,PINE GROVE TRAILER PARK,A,1/1/1976,DEL NORTE,GW ,P,C,C,100,R - MOBILE HOME PARK,51,DAVCS,F_CD
33,LPA39 - EL DORADO COUNTY,CA0900102,GOLD BEACH PARK,A,7/29/2016,EL DORADO,GW ,P,C,C,100,R - MOBILE HOME PARK,40,SC   ,F_CD
34,LPA39 - EL DORADO COUNTY,CA0900112,CANDLELIGHT VILLAGE MUTUAL WATER CO.,A,7/29/2016,EL DORADO,GW ,P,C,C,32,R - MOBILE HOME PARK,32,,
35,LPA39 - EL DORADO COUNTY,CA0900404,"OAKLANE MOBILE VILLAGE, LLC.",A,7/29/2016,EL DORADO,GW ,P,C,C,75,R - MOBILE HOME PARK,35,SC   ,F_CD
36,LPA39 - EL DORADO COUNTY,CA0900422,CRYSTAL CAVES MHP,A,7/29/2016,EL DORADO,GW ,P,C,C,112,R - MOBILE HOME PARK,40,SC   ,F_CD
37,LPA39 - EL DORADO COUNTY,CA0900667,PINE CONE TRAILER PARK,A,3/20/2003,EL DORADO,GW ,P,NP,SSWS,18,R - MOBILE HOME PARK,9,XS   ,F_CD
38,LPA39 - EL DORADO COUNTY,CA0900672,MEADOW PARK VILLAGE,A,12/15/2016,EL DORADO,GW ,P,NP,SSWS,22,R - MOBILE HOME PARK,13,,
39,DISTRICT 23 - FRESNO,CA1000229,GREEN ACRES MOBILE HOME ESTATE,A,3/22/1979,FRESNO,GW ,P,C,C,350,R - MOBILE HOME PARK,113,SC   ,F_CD
40,DISTRICT 23 - FRESNO,CA1000238,CAMDEN TRAILER PARK,A,3/22/1979,FRESNO,GW ,P,C,C,75,R - MOBILE HOME PARK,26,DAVCS,F_CD
41,DISTRICT 23 - FRESNO,CA1000244,SHADY LAKES MOBILE HOME PARK,A,3/22/1979,FRESNO,GW ,P,C,C,160,R - MOBILE HOME PARK,65,SC   ,F_CD
42,DISTRICT 23 - FRESNO,CA1000247,SHERWOOD FOREST MHP,A,3/22/1979,FRESNO,GW ,P,C,C,75,R - MOBILE HOME PARK,48,SC   ,F_CD
43,DISTRICT 23 - FRESNO,CA1000249,COVE ISLAND RESORT,A,3/22/1979,FRESNO,GW ,P,NC,NC,40,R - MOBILE HOME PARK,32,N1   ,F_CD
44,DISTRICT 23 - FRESNO,CA1000257,MT ARARAT MOBILE HOME PARK,A,3/22/1979,FRESNO,GW ,P,C,C,43,R - MOBILE HOME PARK,36,SC   ,F_CD
45,DISTRICT 23 - FRESNO,CA1000258,DRIFTWOOD MOBILEHOME PARK,A,3/22/1979,FRESNO,GW ,P,NC,NC,30,R - MOBILE HOME PARK,41,N1   ,F_CD
46,DISTRICT 23 - FRESNO,CA1000259,NEW HORIZONS MOBILE/RV PARK,A,3/22/1979,FRESNO,GW ,P,C,C,82,R - MOBILE HOME PARK,77,SC   ,F_CD
47,DISTRICT 23 - FRESNO,CA1000260,SANDY CREEK VILLAGE MHP,A,3/22/1979,FRESNO,GW ,P,C,C,88,R - MOBILE HOME PARK,45,SC   ,F_CD
48,DISTRICT 23 - FRESNO,CA1000265,MARY LOU MOBILE HOME PARK,A,3/22/1979,FRESNO,GW ,P,C,C,60,R - MOBILE HOME PARK,34,SC   ,F_CD
49,DISTRICT 23 - FRESNO,CA1000267,KINGS CANYON MOBILE HOME PARK,A,3/22/1979,FRESNO,GW ,P,C,C,120,R - MOBILE HOME PARK,26,SC   ,F_CD
